# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0037049m010941_001 163.6 23 5 9.2707852356 -1.1615334829 1 02178_000
acisfJ0037151m721440_001 13.6 5 0 9.3131259751 -72.2446001947 1 04535_001
acisfJ0037399m334246_001 797.6 161 43 9.41578521833 -33.7122531687 3 02019_000,09531_000,09807_000
acisfJ0037452p131949_001 296.2 32 5 9.4384847234 13.3303374907 1 13879_000
acisfJ0037566m504454_001 382.4 86 16 9.4860061523 -50.7484842131 1 13493_000
acisfJ0037571m091504_001 458.7 14 3 9.4881561905 -9.251219987 1 13002_000
acisfJ0038075p230312_001 68.7 3 0 9.53125086278 23.0535189277 1 12847_000
acisfJ0038214m020751_001 379.2 16 5 9.589216531 -2.1309628408 1 09292_000
acisfJ0038305p401544_001 460.0 26 7 9.627133714 40.262409411 1 02046_000
acisfJ0038340p401952_001 454.8 28 5 9.6419045815 40.3311520338 1 02048_000
acisfJ0038472p401623_001 465.2 21 11 9.6968901601 40.2730914156 1 02047_000
acisfJ0039157m511642_001 520.7 35 9 9.813266133 -51.2794307372 2 02996_000,10402_000
acisfJ0039173p032034_001 469.8 101 33 9.82067732827 3.34399820162 2 04053_000,11389_000
acisfJ0039236p005416_001 226.7 39 9 9.84863026753 0.904600430281 2 08171_000,09588_000
acisfJ0039482m352823_001 235.5 24 6 9.9512005806 -35.4731654115 1 03221_000
acisfJ0040241p414042_001 385.3 29 8 10.1007100151 41.6783554558 1 04691_000
acisfJ0040413m090629_001 445.3 26 6 10.1723984273 -9.1083094477 1 04888_001
acisfJ0040413m092229_001 444.8 20 7 10.1724046834 -9.3749279648 1 04885_001
acisfJ0040413m093829_001 445.0 23 6 10.1723714881 -9.6415976904 1 04883_001
acisfJ0040431m111007_001 14.0 0 0 10.1796047251 -11.1687522021 1 09235_000
acisfJ0040493p100345_001 304.5 6 5 10.2057617217 10.0612209146 2 05670_001,09293_000
acisfJ0040553p330957_001 313.3 27 13 10.230451321 33.1660537711 1 13880_000
acisfJ0040580m732025_001 503.6 85 26 10.2412269658 -73.3403491234 2 14673_000,15506_000
acisfJ0041021m440557_001 381.5 27 4 10.2591589653 -44.0992626712 1 13395_000
acisfJ0041105m210747_001 458.4 10 7 10.2940805187 -21.1298023332 1 11352_000
acisfJ0041258p253002_001 554.2 34 9 10.357709549 25.5008976279 2 07608_000,09098_000
acisfJ0041408m092027_001 377.9 60 26 10.4202992004 -9.34094092888 2 15173_000,16264_000
acisfJ0041460m092227_001 448.3 52 29 10.4420612077 -9.3744003311 1 00904_000
acisfJ0041462m090629_001 445.4 32 8 10.4428275466 -9.1082928652 1 04887_001
acisfJ0041462m093829_001 444.9 23 10 10.4427962887 -9.6416459284 1 04882_001
acisfJ0041477p405854_001 460.5 35 7 10.4487914505 40.9818699346 1 02049_000
acisfJ0041501p410331_001 454.7 55 18 10.4590185172 41.0586812168 1 02051_000
acisfJ0041522m092408_001 379.4 65 10 10.4677529635 -9.40249276211 2 15174_000,16263_000
acisfJ0041532p405638_001 777.5 85 14 10.4664678339 40.940235741 3 02899_001,02902_000,04536_000
acisfJ0041593p410510_001 451.0 36 3 10.4974614518 41.0861137571 1 10718_001
acisfJ0042044p405939_001 458.6 43 9 10.518409583 40.9943973549 1 02050_000
acisfJ0042084p405557_001 453.8 26 2 10.5352439702 40.9325214243 1 02901_000
acisfJ0042156m125559_001 439.0 84 12 10.5643373527 -12.9323293804 5 11532_000,13922_000,13923_000,13924_001,13925_000
acisfJ0042321p405739_001 530.4 47 3 10.6337877647 40.9611994496 2 01576_001,02894_000
acisfJ0042375p405142_001 674.9 44 11 10.6563837739 40.8619453945 2 00314_000,01580_000
acisfJ0042392p405522_001 452.6 26 3 10.663619899 40.9228393129 1 01584_000
acisfJ0042395p405246_001 674.3 100 17 10.6716745014 40.8774800166 4 00313_000,02017_001,02494_002,05690_000
acisfJ0042424p411621_001 1054.1 319 38 10.679312295 41.2714093949 33 04360_000,04720_001,04721_000,07140_000,08191_000,08192_000,08193_000,08194_000,08195_001,09522_000,09523_000,10555_000,10715_000,10716_000,11839_000,11840_000,11841_000,11842_000,12971_000,12972_000,12973_000,13299_000,13300_002,13301_000,13302_000,13825_001,13826_000,13827_000,13828_001,15325_000,15326_000,15327_000,15328_000
acisfJ0042432p411544_001 1209.1 287 35 10.6809623913 41.2648546406 21 01581_000,01854_002,04678_001,04679_001,04722_000,07064_000,08186_001,08187_000,09521_000,09524_000,10717_000,11275_000,12160_001,12161_000,12974_000,13833_000,13834_001,14195_000,14197_000,14198_000,15267_000
acisfJ0042433p411643_001 945.2 249 30 10.6753986001 41.2788622435 11 00310_000,00312_000,01575_001,04719_000,07139_000,09529_000,10554_000,11838_000,12970_000,13298_000,15324_001
acisfJ0042454p411652_001 898.8 170 25 10.6894241379 41.2811050566 7 00309_000,00311_000,01583_000,04682_000,07068_001,07137_000,07138_000
acisfJ0042455p411524_001 750.1 163 10 10.6899264396 41.2568175628 5 00308_000,01582_000,04680_001,04681_000,07136_001
acisfJ0042460p411550_001 939.9 262 13 10.6900152536 41.2646606187 24 08183_000,08184_000,08185_000,09520_000,10551_000,10552_000,10553_000,10719_000,11276_000,11277_000,11278_000,11279_000,12162_000,12163_000,12164_000,13835_000,13836_000,13837_000,14196_000,14927_000,14928_000,14929_000,14930_000,14931_000
acisfJ0042472m233333_001 454.2 27 7 10.6969926129 -23.5593221585 1 15066_000
acisfJ0042494p411629_001 447.8 96 5 10.705940643 41.2748683135 1 04723_000
acisfJ0042511m090629_001 444.3 25 11 10.7132265525 -9.1082872451 1 04886_001
acisfJ0042511m092229_001 444.9 33 9 10.7131756179 -9.3749646512 1 04884_001
acisfJ0042511m093829_001 445.1 36 6 10.7132492413 -9.6415980843 1 04881_001
acisfJ0042536m233236_001 451.6 18 4 10.723746617 -23.5434555689 1 12872_000
acisfJ0043013p411629_001 454.3 100 3 10.7555347813 41.2749739212 1 01585_003
acisfJ0043056p411710_001 588.5 121 8 10.7735389326 41.28618331 2 02895_001,02896_000
acisfJ0043091p411905_001 797.5 120 16 10.7881044203 41.3182208773 3 01577_000,02897_000,02898_000
